case_id,adapter,measured_runs,correct_successes,failed_runs,expected_object_bytes,seconds_median,seconds_q1,seconds_q3,seconds_min,seconds_max,seconds_n,throughput_mib_s_median,throughput_mib_s_q1,throughput_mib_s_q3,throughput_mib_s_min,throughput_mib_s_max,throughput_mib_s_n,heap_mib_median,heap_mib_q1,heap_mib_q3,heap_mib_min,heap_mib_max,heap_mib_n,committed_heap_mib_median,committed_heap_mib_q1,committed_heap_mib_q3,committed_heap_mib_min,committed_heap_mib_max,committed_heap_mib_n,rss_mib_median,rss_mib_q1,rss_mib_q3,rss_mib_min,rss_mib_max,rss_mib_n,producer_allocation_mib_median,producer_allocation_mib_q1,producer_allocation_mib_q3,producer_allocation_mib_min,producer_allocation_mib_max,producer_allocation_mib_n,cpu_seconds_median,cpu_seconds_q1,cpu_seconds_q3,cpu_seconds_min,cpu_seconds_max,cpu_seconds_n,gc_count_median,gc_count_q1,gc_count_q3,gc_count_min,gc_count_max,gc_count_n,gc_collection_millis_median,gc_collection_millis_q1,gc_collection_millis_q3,gc_collection_millis_min,gc_collection_millis_max,gc_collection_millis_n,first_request_ms_median,first_request_ms_q1,first_request_ms_q3,first_request_ms_min,first_request_ms_max,first_request_ms_n,first_payload_ms_median,first_payload_ms_q1,first_payload_ms_q3,first_payload_ms_min,first_payload_ms_max,first_payload_ms_n,temporary_payload_file_bytes_median,temporary_payload_file_bytes_q1,temporary_payload_file_bytes_q3,temporary_payload_file_bytes_min,temporary_payload_file_bytes_max,temporary_payload_file_bytes_n,sink_retained_buffer_bytes_after_terminal_median,sink_retained_buffer_bytes_after_terminal_q1,sink_retained_buffer_bytes_after_terminal_q3,sink_retained_buffer_bytes_after_terminal_min,sink_retained_buffer_bytes_after_terminal_max,sink_retained_buffer_bytes_after_terminal_n,sink_retained_receipts_after_terminal_median,sink_retained_receipts_after_terminal_q1,sink_retained_receipts_after_terminal_q3,sink_retained_receipts_after_terminal_min,sink_retained_receipts_after_terminal_max,sink_retained_receipts_after_terminal_n,requests_put_median,requests_create_median,requests_part_median,requests_complete_median,requests_abort_median
1k-unknown,original-939f2bd,5,5,0,1024,0.003369125,0.003183375,0.003370875,0.003122083,0.003401625,5,0.2898564167254109,0.2897059368858234,0.30676954490124475,0.28708705398155293,0.31279197253884666,5,17.349288940429688,17.34667205810547,17.351341247558594,17.34375762939453,17.353591918945312,5,128.0,128.0,128.0,128.0,128.0,5,178.625,178.515625,178.765625,178.40625,178.96875,5,5.190032958984375,5.190032958984375,5.190032958984375,5.190032958984375,5.1903533935546875,5,0.005074,0.004177,0.005944,0.003903,0.006994,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,1.749875,1.672792,1.83325,1.638958,1.833958,5,1.749875,1.672792,1.83325,1.638958,1.833958,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,1,0,0,0,0
1k-unknown,temp-file,5,5,0,1024,0.004406125,0.0041135,0.004427916,0.004007666,0.00449375,5,0.22163749326222018,0.2205467538227916,0.23740427859487054,0.21731571627260082,0.24367362449864835,5,11.4635009765625,11.460945129394531,11.465553283691406,11.458343505859375,11.467803955078125,5,128.0,128.0,128.0,128.0,128.0,5,172.359375,172.25,172.453125,172.09375,172.625,5,0.25237274169921875,0.25237274169921875,0.25250244140625,0.2523345947265625,0.2526702880859375,5,0.006954,0.00594,0.00762,0.005075,0.009563,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,2.23725,2.130916,2.318375,2.09925,2.399875,5,2.23725,2.130916,2.318375,2.09925,2.399875,5,1024,1024.0,1024.0,1024,1024,5,,,,,,0,,,,,,0,1,0,0,0,0
1k-unknown,whole-buffer,5,5,0,1024,0.00327425,0.003177334,0.003394333,0.003085125,0.003703333,5,0.2982553256470948,0.28770379924421086,0.3073527995483006,0.26369826855970013,0.31653903812649403,5,11.256797790527344,11.254241943359375,11.25885009765625,11.251564025878906,11.261100769042969,5,128.0,128.0,128.0,128.0,128.0,5,172.640625,172.53125,172.75,172.203125,172.953125,5,0.24897003173828125,0.24897003173828125,0.24900054931640625,0.24897003173828125,0.24919891357421875,5,0.006466,0.006028,0.007004,0.004084,0.009638,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,1.727834,1.670625,1.788708,1.667042,1.802333,5,1.727834,1.670625,1.788708,1.667042,1.802333,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,1,0,0,0,0
1m-unknown,aws-async,5,5,0,1048576,0.013112542,0.012810375,0.013553167,0.011243584,0.024060417,5,76.2628634478349,73.78349281758278,78.06172731087106,41.562039427662455,88.93961213790905,5,16.132568359375,16.025100708007812,16.239402770996094,15.248405456542969,17.245559692382812,5,128.0,128.0,128.0,128.0,128.0,5,204.953125,204.390625,205.34375,199.953125,205.875,5,2.1490859985351562,2.1490859985351562,2.1494140625,2.1490707397460938,2.1497650146484375,5,0.020789,0.018199,0.022525,0.015555,0.022994,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,6.539792,6.38925,6.705,6.018625,18.317125,5,6.539792,6.38925,6.705,6.018625,18.317125,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,1,0,0,0,0
1m-unknown,ci-cmg,5,5,0,1048576,0.013260709,0.013215417,0.013408292,0.012776125,0.014240291,5,75.41074915375943,74.58071468013972,75.66919757431793,70.22328406069792,78.27099374810437,5,20.460037231445312,20.45379638671875,20.466873168945312,20.44731903076172,20.473243713378906,5,128.0,128.0,128.0,128.0,128.0,5,183.765625,183.59375,184.03125,182.03125,184.328125,5,5.406929016113281,5.406929016113281,5.40704345703125,5.401847839355469,5.40704345703125,5,0.017772,0.016131,0.018483,0.015533,0.018757,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0.937834,0.902042,0.991666,0.873834,0.993917,5,6.550459,6.476667,6.590959,6.447208,7.036041,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,1,1,0
1m-unknown,improved,5,5,0,1048576,0.006713333,0.006544584,0.006800209,0.00652175,0.007808167,5,148.95730630373913,147.05430377213406,152.79809992506782,128.0710312676458,153.33307777820372,5,17.333709716796875,17.331153869628906,17.33576202392578,17.32843780517578,17.3380126953125,5,128.0,128.0,128.0,128.0,128.0,5,165.703125,165.640625,165.796875,165.484375,166.015625,5,5.193977355957031,5.193977355957031,5.194145202636719,5.193946838378906,5.194358825683594,5,0.006759,0.006384,0.008209,0.005874,0.010191,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,3.481042,3.167875,3.5075,3.112584,3.737,5,3.481042,3.167875,3.5075,3.112584,3.737,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,1,0,0,0,0
1m-unknown,original-939f2bd,5,5,0,1048576,0.007187375,0.007163291,0.0074035,0.006931834,0.007659417,5,139.13285448442582,135.07125008441952,139.60063886836372,130.55823961536498,144.26196588089095,5,21.291969299316406,21.289352416992188,21.294021606445312,21.286605834960938,21.29627227783203,5,128.0,128.0,128.0,128.0,128.0,5,184.203125,184.140625,184.296875,184.0,184.484375,5,7.193962097167969,7.193962097167969,7.194190979003906,7.193962097167969,7.1944427490234375,5,0.00704,0.006952,0.007913,0.006162,0.010183,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,3.361041,3.353417,3.394,3.277834,3.519084,5,3.361041,3.353417,3.394,3.277834,3.519084,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,1,0,0,0,0
1m-unknown,temp-file,5,5,0,1048576,0.011453708,0.011201791,0.011828375,0.010847208,0.012101041,5,87.30797048431826,84.54246673782325,89.27143882616629,82.63751854076025,92.18962151366507,5,11.477195739746094,11.474639892578125,11.479248046875,11.471961975097656,11.481498718261719,5,128.0,128.0,128.0,128.0,128.0,5,173.078125,172.953125,173.203125,172.75,173.421875,5,0.2583770751953125,0.2583770751953125,0.25870513916015625,0.25833892822265625,0.25875091552734375,5,0.013308,0.012004,0.013909,0.010646,0.014581,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,7.270791,7.232708,7.337666,6.846917,7.892417,5,7.270791,7.232708,7.337666,6.846917,7.892417,5,1048576,1048576.0,1048576.0,1048576,1048576,5,,,,,,0,,,,,,0,1,0,0,0,0
1m-unknown,whole-buffer,5,5,0,1048576,0.007043333,0.006955916,0.007137041,0.006838167,0.007731375,5,141.97823672400554,140.11408929835207,143.7625181212654,129.343098737288,146.23801963303907,5,14.236892700195312,14.2342529296875,15.238945007324219,14.231651306152344,15.241195678710938,5,128.0,128.0,128.0,128.0,128.0,5,173.65625,173.5625,173.796875,173.4375,174.03125,5,2.129974365234375,2.129974365234375,2.1302642822265625,2.129974365234375,2.1303863525390625,5,0.007018,0.006994,0.009175,0.006977,0.009406,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,3.346958,3.287625,3.434708,3.115041,3.959791,5,3.346958,3.287625,3.434708,3.115041,3.959791,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,1,0,0,0,0
32m-1m-writes,aws-async,5,5,0,33554432,0.3607975,0.360384334,0.373837375,0.358974667,0.375399334,5,88.69241056271177,85.59871789170357,88.79409280870684,85.2425593275027,89.142780651984,5,57.98345947265625,57.88102722167969,58.850364685058594,57.820838928222656,58.8765869140625,5,128.0,128.0,128.0,128.0,128.0,5,256.71875,256.03125,257.5,255.265625,258.109375,5,55.481773376464844,55.469268798828125,55.482025146484375,55.468544006347656,55.4827880859375,5,0.393063,0.38826,0.398324,0.380525,0.411996,5,4,4.0,4.0,4,5,5,2,2.0,2.0,1,2,5,92.917334,88.536291,93.063167,86.160166,94.213334,5,98.011625,93.622083,98.790959,91.822875,99.510417,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,7,1,0
